country,activity,location,budget
Morocco ,visit Bahia Palace and the Bahia Palace and a stunning example and Moroccan architecture and intricate details and beautiful gardens,"the Bahia Palace, Moroccan, Bahia Palace",Luxury 
Morocco ,enjoy Nomad and a modern Moroccan lunch and rooftop views and Nomad and the Medina,"Medina, Moroccan, Nomad",Luxury 
Morocco ,explore Majorelle Garden Yves Saint Laurent Museum and the vibrant Majorelle Garden and a botanical garden and striking blue architecture,"Garden, Majorelle Garden, Saint Laurent Museum",Luxury 
Morocco ,visit the adjacent Yves Saint Laurent Museum and the iconic designers connection and Marrakech,"Yves Saint Laurent Museum, Marrakech, Afterward, Saint Laurent Museum",Luxury 
Morocco ,enjoy Le Foundouk and a dinner and Le Foundouk and a restaurant and a beautifully restored riad and Moroccan cuisine and a modern twist,"Le Foundouk, Moroccan",Luxury 
Morocco ,enjoy Camel Ride and a short camel ride and the Agafay Desert and the foothills and the Atlas Mountains and a memorable experience,"the Agafay Desert, the Atlas Mountains, Agafay Desert, Atlas Mountains",Luxury 
Morocco ,have a Berber Village and a traditional Berber home and a restaurant and panoramic mountain views,Berber,Luxury 
Morocco ,enjoy authentic Moroccan cuisine,Moroccan,Luxury 
Morocco ,opt Hiking and Trekking and a guided hike and trek and the Atlas Mountains and your familys fitness level,"the Atlas Mountains, Atlas Mountains",Luxury 
Morocco ,explore the stunning landscapes and local Berber communities,Berber,Luxury 
Morocco ,enjoy Comptoir Darna and a dinner and Comptoir Darna and a restaurant and a lively atmosphere and belly dancing performances and delicious Moroccan cuisine,"Comptoir Darna, Moroccan",Luxury 
Morocco ,enjoy stunning views and the Atlas Mountains and the surrounding landscape,"the Atlas Mountains, Atlas Mountains",Luxury 
Morocco ,enjoy a late breakfast and your riad,,Luxury 
Morocco ,enjoy the delicious meal and you and your cooking class,,Luxury 
Morocco ,visit Jemaa elFna Square and the evening,"Jemaa el-Fna Square Visit, Square Visit Jemaa",Luxury 
Morocco ,experience the vibrant atmosphere and storytellers and musicians and food stalls and snake charmers,,Luxury 
Morocco ,enjoy Terrace des Epices and a casual dinner and Terrace des Epices and a rooftop restaurant and the Medina and stunning views and Jemaa elFna Square,"Medina, Terrace, Terrace des Epices, Terrace des Epices, Jemaa el-Fna Square, Jemaa",Luxury 
Morocco ,enjoy a leisurely breakfast and your riad,,Luxury 
Morocco ,get a final massage and the pool,,Luxury 
Morocco ,desire LastMinute Souvenir Shopping and some lastminute souvenir shopping,"Souvenir Shopping, last-minute",Luxury 
Morocco ,enjoy a final Moroccan lunch and a restaurant and your choice,Moroccan,Luxury 
Morocco ,transfer Private Transfer and Marrakech Menara Airport RAK and Marrakech Menara Airport and your departure,"Marrakech, Marrakech, Marrakech Menara Airport",Luxury 
Morocco ,"condition Luxury Considerations and Accommodations and Casablanca and Sofitel Casablanca Tour Blanche and Four Seasons Hotel Casablanca Marrakech and Royal Mansour Marrakech and La Mamounia and Riad Kniza and Amanjena and the Medina and a more resortlike experience Transportation and Private drivers and comfortable, airconditioned vehicles","Medina, Luxury Considerations Accommodations Casablanca Sofitel Casablanca Tour Blanche, Four Seasons Hotel Casablanca Marrakech, Mansour Marrakech, Riad Kniza, Transportation Private, Luxury, Considerations Accommodations Casablanca Sofitel Casablanca, Blanche, Four Seasons Hotel Casablanca Marrakech Royal Mansour Marrakech, Transportation",Luxury 
Morocco ,"speak Guides and Licensed, knowledgeable, and Englishspeaking private guides and all tours and excursions","English, Guides Licensed",Luxury 
Morocco ,consider private dining experiences and your riad,,Luxury 
Morocco ,consider Family Adaptations and Childrens Activities and activities and children and a visit and the Jardin Secret and Marrakech and a camel ride and younger children and a pottery workshop,"Jardin, the Jardin Secret, Marrakech, Adaptations Children",Luxury 
Morocco ,connect Accommodation and Book family suites and connecting rooms and your chosen accommodations,,Luxury 
Morocco ,drink bottled water and ice,Drink,Luxury 
Morocco ,enjoy your luxurious and unforgettable adventure and Morocco,Morocco,Luxury 
